Date,count,,,Data from https://english.metro.taipei/cp.aspx?n=C702FF0562802D53
3/28/96,42548,,,
3/29/96,104443,,,
3/30/96,98792,,,
3/31/96,84931,,,
4/1/96,50126,,,
4/2/96,63072,,,
4/3/96,58997,,,
4/4/96,69296,,,
4/5/96,45912,,,
4/6/96,44695,,,
4/7/96,68216,,,
4/8/96,37145,,,
4/9/96,38902,,,
4/10/96,38712,,,
4/11/96,38161,,,
4/12/96,38284,,,
4/13/96,43516,,,
4/14/96,58425,,,
4/15/96,39835,,,
4/16/96,40363,,,
4/17/96,39125,,,
4/18/96,36424,,,
4/19/96,34832,,,
4/20/96,42750,,,
4/21/96,66960,,,
4/22/96,36549,,,
4/23/96,39162,,,
4/24/96,40772,,,
4/25/96,38683,,,
4/26/96,39188,,,
4/27/96,48587,,,
4/28/96,58230,,,
4/29/96,37865,,,
4/30/96,37777,,,
5/1/96,42742,,,
5/2/96,36867,,,
5/3/96,39117,,,
5/4/96,43875,,,
5/5/96,36424,,,
5/6/96,38561,,,
5/7/96,37282,,,
5/8/96,39180,,,
5/9/96,38554,,,
5/10/96,39169,,,
5/11/96,42254,,,
5/12/96,47772,,,
5/13/96,37580,,,
5/14/96,37942,,,
5/15/96,37724,,,
5/16/96,40029,,,
5/17/96,40618,,,
5/18/96,47264,,,
5/19/96,61044,,,
5/20/96,49848,,,
5/21/96,30244,,,
5/22/96,36183,,,
5/23/96,33858,,,
5/24/96,34568,,,
5/25/96,37439,,,
5/26/96,37524,,,
5/27/96,34066,,,
5/28/96,32415,,,
5/29/96,34878,,,
5/30/96,35561,,,
5/31/96,35817,,,
6/1/96,37267,,,
6/2/96,40946,,,
6/3/96,25812,,,
6/4/96,31282,,,
6/5/96,31494,,,
6/6/96,31903,,,
6/7/96,32528,,,
6/8/96,35280,,,
6/9/96,30267,,,
6/10/96,32501,,,
6/11/96,32789,,,
6/12/96,32961,,,
6/13/96,32507,,,
6/14/96,28029,,,
6/15/96,32442,,,
6/16/96,25039,,,
6/17/96,31469,,,
6/18/96,31279,,,
6/19/96,33132,,,
6/20/96,20532,,,
6/21/96,31983,,,
6/22/96,35776,,,
6/23/96,29349,,,
6/24/96,31409,,,
6/25/96,32138,,,
6/26/96,31638,,,
6/27/96,32266,,,
6/28/96,32962,,,
6/29/96,36402,,,
6/30/96,33214,,,
7/1/96,35180,,,
7/2/96,37747,,,
7/3/96,38161,,,
7/4/96,38462,,,
7/5/96,39048,,,
7/6/96,39308,,,
7/7/96,37867,,,
7/8/96,39457,,,
7/9/96,40516,,,
7/10/96,38142,,,
7/11/96,41162,,,
7/12/96,35184,,,
7/13/96,34636,,,
7/14/96,37749,,,
7/15/96,34346,,,
7/16/96,35870,,,
7/17/96,37607,,,
7/18/96,39857,,,
7/19/96,39802,,,
7/20/96,36108,,,
7/21/96,33290,,,
7/22/96,35166,,,
7/23/96,36892,,,
7/24/96,35867,,,
7/25/96,33860,,,
7/26/96,27371,,,
7/27/96,35514,,,
7/28/96,35318,,,
7/29/96,37711,,,
7/30/96,34118,,,
7/31/96,1287,,,
8/1/96,11024,,,
8/2/96,37238,,,
8/3/96,39323,,,
8/4/96,40398,,,
8/5/96,39611,,,
8/6/96,40968,,,
8/7/96,40823,,,
8/8/96,41100,,,
8/9/96,40198,,,
8/10/96,46896,,,
8/11/96,54048,,,
8/12/96,42701,,,
8/13/96,44665,,,
8/14/96,37501,,,
8/15/96,39764,,,
8/16/96,45747,,,
8/17/96,46990,,,
8/18/96,53610,,,
8/19/96,43345,,,
8/20/96,46614,,,
8/21/96,38669,,,
8/22/96,45525,,,
8/23/96,44867,,,
8/24/96,46674,,,
8/25/96,52244,,,
8/26/96,42336,,,
8/27/96,41814,,,
8/28/96,35762,,,
8/29/96,39157,,,
8/30/96,39308,,,
8/31/96,37105,,,
9/1/96,37241,,,
9/2/96,36222,,,
9/3/96,37159,,,
9/4/96,37003,,,
9/5/96,37440,,,
9/6/96,37423,,,
9/7/96,39187,,,
9/8/96,30133,,,
9/9/96,36132,,,
9/10/96,36682,,,
9/11/96,37431,,,
9/12/96,36556,,,
9/13/96,37591,,,
