Date,Sales
1995/1/1,1664.81
1995/2/1,2397.53
1995/3/1,2840.71
1995/4/1,3547.29
1995/5/1,3752.96
1995/6/1,3714.74
1995/7/1,4349.61
1995/8/1,3566.34
1995/9/1,5021.82
1995/10/1,6423.48
1995/11/1,7600.6
1995/12/1,19756.21
1996/1/1,2499.81
1996/2/1,5198.24
1996/3/1,7225.14
1996/4/1,4806.03
1996/5/1,5900.88
1996/6/1,4951.34
1996/7/1,6179.12
1996/8/1,4752.15
1996/9/1,5496.43
1996/10/1,5835.1
1996/11/1,12600.08
1996/12/1,28541.72
1997/1/1,4717.02
1997/2/1,5702.63
1997/3/1,9957.58
1997/4/1,5304.78
1997/5/1,6492.43
1997/6/1,6630.8
1997/7/1,7349.62
1997/8/1,8176.62
1997/9/1,8573.17
1997/10/1,9690.5
1997/11/1,15151.84
1997/12/1,34061.01
1998/1/1,5921.1
1998/2/1,5814.58
1998/3/1,12421.25
1998/4/1,6369.77
1998/5/1,7609.12
1998/6/1,7224.75
1998/7/1,8121.22
1998/8/1,7979.25
1998/9/1,8093.06
1998/10/1,8476.7
1998/11/1,17914.66
1998/12/1,30114.41
1999/1/1,4826.64
1999/2/1,6470.23
1999/3/1,9638.77
1999/4/1,8821.17
1999/5/1,8722.37
1999/6/1,10209.48
1999/7/1,11276.55
1999/8/1,12552.22
1999/9/1,11637.39
1999/10/1,13606.89
1999/11/1,21822.11
1999/12/1,45060.69
2000/1/1,7615.03
2000/2/1,9849.69
2000/3/1,14558.4
2000/4/1,11587.33
2000/5/1,9332.56
2000/6/1,13082.09
2000/7/1,16732.78
2000/8/1,19888.61
2000/9/1,23933.38
2000/10/1,25391.35
2000/11/1,36024.8
2000/12/1,80721.71
2001/1/1,10243.24
2001/2/1,11266.88
2001/3/1,21826.84
2001/4/1,17357.33
2001/5/1,15997.79
2001/6/1,18601.53
2001/7/1,26155.15
2001/8/1,28586.52
2001/9/1,30505.41
2001/10/1,30821.33
2001/11/1,46634.38
2001/12/1,104660.67
