"","date","133715PC050500AGe","133715PC050500FGe","133715PC051000AGe","133715PC051000FGe","144934PC031000AGe","144934PC050500AGe","144934PC051000AGe","17010105PC050500AIS","17010105PC050500JIS","17010105PC051000AIS","17010105PC070200AIS","17010105PC070250AIS","17010105PT070200AIS","17010105PT070330AIS","17010702PC050500AIS","17010702PC051000AIS","17010702PC070200AIS","17010702PC070350AIS","17011901PC070200AIS","17011901PC070250AIS","17011901PC070300AIS","17011901PC081000AIS","17011901PT080500PIS","17011901PT081000AIS","17011901PT081000PIS","17013059PC050500AIS","17013059PC051000AIS","17013228PC081000AIS","17013228PT080500AIS","17013228PT081000AIS","17113015PC042000JIS","17113015PC091500JIS","17120706PC030500ANo","17120706PC031000ANo","17120706PT070200ANo","17120706PT070250ANo","17121201PC030500ANo","17121201PC031000ANo","17121201PC060500ANo","17121201PC070200ANo","17121201PC070200FNo","17121201PC070250ANo","17121201PC080500ANo","17121201PC081000ANo","17121201PT070200ANo","17121201PT070250ANo","17121201PT070330ANo","17121201PT080500ANo","17121201PT081000ANo","17121201PT081000PNo","17123003PC030500ANo","17123003PC031000ANo","17123092PC030500ANo","17123117PC031000JNo","17123117PC042000JNo","17123117PT021000JNo","17133005PC021000JIS","17133005PT020500JIS","17133005PT020750JIS","17133005PT021000JIS","17163181PC060250FIS","17163181PC060375FIS","17163181PC060375JIS","17163181PC060500FIS","17173060PC030500AIS","17173060PC031000AIS","17181313PC051000AIS","17181313PC060200AIS","17181313PC060250AIS","17181313PC060350AIS","17181313PC060500AIS","17181313PC080500AIS","17181313PC081000AIS","17183005PC042000JIS","17183005PC070250JIS","17183015PC051000NIS","17201607PC030500AIS","17201607PC031000AIS","17201607PC070200AIS","17201607PC070250AIS","17201607PC070330AIS","17223006PC080500AIS","17223006PC081000AIS","17223006PC081000JIS","17223006PC081000PIS","17223006PT081000JIS","172582PC010200AGe","172582PC010250AGe","172582PC031000AGe","172582PC060350AGe","172582PC060500AGe","172582PC060500FGe","172582PC070200AGe","172582PT070200AGe","172582PT070200FGe","172582PT070350AGe","172791PC031000AGe","172791PC070200AGe","172791PC070250AGe","172791PT070200AGe","172791PT070200FGe","172791PT081000AGe","17320105PC031000JIS","17320105PC070330JIS","217974PC081000AGe","217974PC081000JGe","217974PT081000AGe","218037PC091500JGe","219407PM100500WGe","219407PM101000JGe","219407PM101000WGe","222122PC042000JGe","223707PC020500JGe","223707PC021000JGe","224181PC030500AIS","224181PC031000AIS","36867PC030500AGe","36867PC031000AGe","37238PC070200FGe","37238PC070250FGe","37238PC070300FGe","37238PC070350FGe","37403PC030500AGe","37403PC031000AGe","37403PC060350AGe","37403PC060500AGe","45245PC020750JGe","45245PC021000JGe","45245PC091500JGe","45245PT021000JGe","45245PT091500JGe","48074PC031000AGe","48074PC051000AGe","48074PC051000FGe"
"1",201401,0,0,0,0,3105.3,1026.88,0,0,0,0,0,0,0,0,1402.24,8005.44,1232.25,0,0,501,190.13,75.32,168,723.8,2908.8,72.64,8414.72,1580.6,0,84,147.25,411.6,419.7,1073.7,1171.5,481.5,201.3,11859.3,2523.96,0,0,3789,0,0,351,390,0,1125.6,0,814.2,710.7,11208,0,636.6,1095.25,390.3,0,0,0,802.5,0,0,0,0,48.6,592.5,7517.81,385.13,1345.88,883.88,460.44,417.76,1421.56,0,0,0,0,884.1,251.25,256.5,0,0,453.88,624.4,151.5,0,0,0,10810.2,13029,7844.76,655.56,17186.63,3586.88,3195,243.38,7846.2,4429.5,614.63,874.13,117,0,0,0,0,0,0,4590.96,0,512.96,0,564.25,432,2222.7,0,4974.9,0,3154.8,2088.62,4848.06,2775.42,143.82,308.1,12269.1,19171.13,4420.44,33.9,1582.2,1309.44,276.3,1229.28,618.6,2915.84,20.16
"2",201402,0,0,0,0,2815.5,839.68,233.6,0,0,0,0,0,0,0,715.2,8072,0,0,0,0,0,148.68,120,151.76,2479.5,0,5996.16,1004.08,0,101.36,439.25,491.52,3645.9,837.6,2699.63,989.63,0,9770.1,879.84,0,261.38,36.75,0,0,675.38,87,0,2951.2,0,1173.3,1302.9,10743.3,0,664.2,1974.5,1828.2,0,109.2,0,661.2,0,0,0,0,0,1860,6384.47,0,403.5,0,0,98.56,834.68,0,740.63,144.64,0,1867.5,0,0,364.5,221.48,1434.16,159.88,215.7,0,0,0,16149.6,11539.88,8104.32,266.04,17946.75,3117.75,2583.38,307.5,6815.1,5019,864,689.25,117,0,0,0,0,0,0,4722.24,0,1647.24,0,240.5,1063.8,2323.5,0,6352.8,0,3708.6,3338.46,7237.92,716.04,230.18,1032,10262.4,17691.38,3057.84,54,2530.8,703.68,414.3,855.12,1227.3,4285.76,20.16
"3",201403,0,0,0,0,2872.8,1558.72,0,0,0,0,0,0,0,0,1138.56,3154.88,1238.63,0,0,0,182.63,143.36,122.1,1049.44,3270.9,90.24,6449.6,1407.84,0,807.8,0,0,3280.2,624.6,0,0,0,2627.4,0,0,0,0,0,0,0,0,0,829.08,0,0,1484.7,7954.8,0,3638.1,1941,1995.6,0,0,0,365.1,0,0,0,0,0,1824.6,6554.24,0,562.5,0,0,221.2,379.4,0,0,0,48.6,2013.3,0,0,0,0,2120.16,201.32,304.5,0,0,0,13586.7,13469.63,7067.88,620.64,21860.63,3406.88,1661.25,424.13,7356.6,4529.25,1200.38,569.63,175.5,0,166.2,753.75,0,0,0,2820.24,0,794.92,0,0,620.7,2088.9,0,2184.6,0,3168,2890.34,6622.18,1236.92,735.42,1386.3,12425.1,17589.75,4151.52,17.1,2875.8,1066.08,250.8,1169.04,1845.9,3275.84,60.48
"4",201404,0,0,0,0,3969.9,1471.04,120.96,0,0,0,0,0,0,0,1579.2,6045.76,0,0,0,941.63,0,0,139.5,662.76,2557.2,0,6210.88,2124.36,0,619.92,269,989.52,1738.2,514.8,1239.38,1968,168.9,5995.5,419.4,0,0,2894.63,0,0,0,0,307.13,1341.48,0,0,1367.1,11952.9,0,3152.7,3414,2966.7,0,0,0,816.6,0,566.78,0,0,49.2,3272.4,8347.2,191.25,596.63,0,432.72,348.04,509.32,48.5,0,0,365.4,1431.9,0,0,0,0,2124.92,518.28,279.3,0,0,0,14975.1,18471.75,9171.72,1128.96,24603,5661.38,2602.13,399.75,10469.4,3273.75,688.13,912.75,117,0,556.8,0,0,0,0,3012.96,0,393.68,0,566.75,1267.2,2735.1,0,3607.5,0,3690.9,3391.84,6085.66,79.56,473.28,1081.8,15828.9,19094.63,4401.36,126.9,2756.4,1316.16,480.6,1233.84,1332.3,5035.52,76.48
"5",201405,0,0,0,0,2205.3,685.12,95.36,0,0,0,0,0,0,0,981.44,4555.2,0,0,0,0,0,153.44,48,473.76,2228.4,0,6901.76,2455.32,0,236.6,813.25,799.68,2739.3,474.6,0,0,607.2,4474.8,451.08,0,0,977.63,0,0,0,0,69.38,940.24,297.92,0,488.4,8436,502.5,2249.1,1560,1630.8,0,0,0,233.7,0,0,0,0,121.5,2383.8,11119.36,0,190.88,0,449.64,219.8,663.6,49.5,1093.88,0,0,1451.1,0,684.38,0,226.8,2513.84,0,0,0,0,0,9605.1,10333.13,7184.88,374.4,13248.75,3788.63,2784,292.13,9483,3734.63,563.25,238.13,94.88,0,582.6,706.5,0,0,0,1868.16,0,201.6,0,208.5,1534.2,1402.2,0,3928.5,0,3152.7,2866.88,5180.24,183.6,197.54,2968.5,12965.1,18460.13,4488.12,99,2045.4,842.16,1680.3,1010.4,1825.5,2963.52,133.12
"6",201406,0,0,0,0,3282.6,1497.92,165.12,0,0,0,0,0,0,0,905.28,4486.08,0,0,0,0,0,0,0,222.6,2631.6,0,5751.04,1320.76,0,316.4,214,1322.4,1184.7,340.2,1959,1395.75,188.1,6659.7,285.12,0,0,857.63,0,0,478.88,0,0,1612.24,0,150.6,1706.7,6739.8,0,3350.1,1213.75,1609.2,0,0,0,963.6,0,0,0,0,0,1805.1,9629.76,198,196.88,147.75,305.28,0,1816.08,48.5,688.88,0,0,2037.3,469.88,0,0,0,1501.36,495.6,367.2,0,0,0,11987.7,10851,8558.64,547.56,14948.63,3302.63,2833.13,455.63,9414.3,4881.75,635.63,760.5,58.5,0,0,0,0,0,0,2499.36,0,880.6,0,388,963,3160.8,0,2998.5,0,3654.3,3257.54,3360.22,0,418.54,840.3,10769.4,17915.63,4006.8,0,1943.1,1212.24,1113,1643.28,1802.4,3331.52,0
"7",201407,77.12,0,3202.56,0,3616.5,1136,86.4,0,0,0,0,0,0,0,634.56,4799.04,0,166.88,0,0,179.63,143.36,0,285.88,2932.8,0,8006.72,2698.36,0,436.8,444,2055.84,1933.5,407.1,1844.63,51.38,522.6,8206.2,631.44,0,0,0,0,0,0,0,0,797.16,0,0,801.9,9921.9,618.6,1051.5,1834.25,1658.1,0,0,0,1143.3,0,445.4,150.96,3238.5,84.3,2418.6,9950.4,193.13,582.38,0,303.48,224,649.88,237,1191.75,0,294.9,1915.5,478.88,0,0,0,1754.2,330.4,144,0,0,0,17441.1,14182.88,10343.16,660.96,19120.13,4588.13,4269.75,421.13,11082.9,4816.13,1515,969.38,379.13,100.8,571.2,0,0,0,0,4228.08,0,1055.32,0,488.75,359.4,1815.3,0,3953.1,0,3136.5,6114.56,5342.76,0,106.08,2053.5,13609.8,16860,4024.08,178.5,3069.9,1347.12,368.4,1208.4,2424.6,4690.24,0
"8",201408,0,0,5344.32,236.48,2777.4,1089.92,109.76,0,0,0,0,0,0,0,1016.64,5096,708.38,0,0,0,0,0,0,370.16,2441.4,90.88,5568.64,1903.16,0,43.12,0,307.44,2452.5,569.7,1305.38,474.38,254.4,10652.1,833.4,0,0,292.5,0,0,0,954.38,0,1634.36,0,303,400.2,7100.4,0,1560,1167.25,1192.5,0,0,0,441.9,0,0,0,0,0,2486.1,8050.88,0,545.92,1209.75,145.8,0,854.84,0,0,0,0,1769.1,0,0,0,228.48,1194.48,305.76,148.2,0,0,0,11163.9,11239.88,8847.63,586.8,15950.25,2482.5,3657,273,9973.2,2514.75,390,418.13,0,895.72,1162.2,0,0,0,0,2635.68,0,1309.56,0,507.5,189,1189.8,0,3432,0,3668.1,2234.82,4359.82,172.72,225.42,341.4,10050,17379,4564.44,108,2022.9,816.24,329.7,1611.36,1826.4,2612.16,20.16
"9",201409,1762.88,87.04,3442.56,397.44,3741.9,925.44,135.68,0,0,0,0,0,0,0,1316.8,8430.08,1251.38,356.25,0,238.13,0,154,0,380.8,3267.3,86.4,5193.6,558.32,0,0,434.25,150.72,1755,0,1638,1906.5,249.6,7386.3,815.4,0,0,3088.88,0,0,0,0,0,1078.56,0,784.8,1020.9,9769.8,0,2023.2,2015,2181,0,0,0,0,0,0,0,0,97.2,3017.1,5914.24,161.25,790.88,908.63,0,111.44,347.76,0,220.88,0,0,292.5,0,0,0,0,863.8,231.84,144.3,0,0,0,13954.5,14886.75,10085.4,363.6,17028.38,4183.5,3752.63,445.88,10904.4,4936.13,758.63,595.88,351,2372.72,0,901.88,0,0,0,2255.28,0,510.16,0,0,966.6,2408.1,0,3976.2,0,2580,3028.38,7940.36,0,283.56,1394.1,7469.1,19796.63,3410.28,223.8,2973.3,975.84,459,1062.96,2444.1,3258.06,20.16
"10",201410,676.16,180.16,4155.84,700.8,4258.5,1175.04,78.08,0,0,0,0,0,0,0,2421.76,6195.52,795,0,0,0,0,0,0,659.68,2668.5,0,3644.8,1627.36,0,0,220,105.6,2352.3,704.1,1891.88,1728,0,7721.4,630,0,0,2695.88,0,0,485.25,0,219.38,1807.12,0,295.8,1381.2,11316.9,615,2808,1920.75,1704.3,0,24,0,645.9,0,0,0,0,0,1863.9,5214.4,183.38,390.75,569.63,0,108.64,987.56,139.5,0,0,0,1164.9,0,146.25,0,0,905.8,681.52,147.3,0,0,0,16820.1,10238.25,9996.48,626.4,21684.38,4747.13,2764.5,390,11287.8,4529.25,929.63,1048.88,196.88,3130.68,576.3,0,0,0,0,4092.48,0,218.4,0,436.25,541.8,2132.1,0,3084,0,4197.9,2794.46,5617.14,1616.02,136.34,677.1,9329.4,18666.38,3445.92,0,2503.8,859.2,273.9,757.68,2459.4,4600.32,36.48
