"","date","48074PC051000JGe","63154PC021000FGe","63154PC021000JGe","63154PC031000JGe","63154PC042000JGe","63154PC070200JGe","63154PC091500FGe","63154PC091500JGe","63154PT021000JGe","63154PT091500JGe","900207PC010200JBe","900207PC020500JBe","900207PC021000JBe","900207PC091500JBe","903291PC021000JBe","903291PC091500JBe","903291PT021000JBe","903291PT091500JBe","907521PC021000JIb","907521PC042000JIb","907521PC051000JIb","907521PC070200JIb","907521PC070250NIb","907664PC041000JIS","907664PC042000JIS","908244PC060250AIS","908244PC060500AIS","908244PT080500AIS","908244PT080500PIS","908244PT080750PIS","908244PT081000AIS","908244PT081000PIS","908616PC031000AIb","909702PC081000AIS","909702PC081000JIS","915306PC051000AIS","915306PC060250AIS","915306PC060500AIS","915306PC070150AIS","915306PC070250AIS","920814PC060200FIb","920814PC060350FIb","920814PC060375FIb","922361PC051000FIb","922361PC060300FIb","922361PC060375FIb","922361PC060400FIb","922361PC060500FIb","922361PC070250FIb","922361PC070300FIb","922361PE060300FIb","922361PE060500FIb","922975PC051000FIb","922975PC070250FIb","922975PC070300FIb","922975PC070350FIb","923313PC041500JIS","923313PC042000JIS","923313PC060300FIS","923313PC060500FIS","923313PC070200JIS","923313PC070250JIS","923313PC070330JIS","923313PE060250FIS","923313PE060300FIS","923313PE060350FIS","923313PE060500FIS","923313PT021000JIS","923313PT070250JIS","923313PT070330JIS","923608PC060250FIb","924267PC010200AIb","924267PC031000AIb","924267PC042000AIb","924267PC051000AIb","924267PC080500AIb","924267PC081000AIb","924267PC091500AIb","924454PC030500FIS","924454PC030750FIS","924454PC031000JIS","924454PC041500FIS","924454PC042000FIS","924454PC050750FIS","924454PC051000FIS","924454PC060250FIS","924454PC060300FIS","924454PC060375FIS","924454PC060400FIS","924454PC060500FIS","924454PE060300FIS","924454PE060400FIS","924454PE060500FIS","924597PC050500FIb","924597PC051000AIb","924597PC051000FIb","924597PC051000JIb","925857PC051000AIb","925857PC051000JIb","926866PC060200FIb","926866PC060500FIb","927272PC091500JIb","928488PC031000AIb","928488PC051000AIb","928488PC051000FIb","928717PC051000FNo","928717PC060300FNo","928717PC060500FNo","928717PE060300FNo","928717PE060500FNo","928972PC021000JNo","928972PC021000NNo","930971PC042000AIS","930971PC051000AIS","930971PC051000PIS","930971PC070250AIS","930971PC070250JIS","930971PT020500AIS","930971PT021000AIS","931056PC050500FIS","931056PC051000FIS","931056PC060500FIS","931166PC031000JIS","93333PC021000JGe","93333PC042000JGe","93333PC070200JGe","93333PC070250JGe","93333PC091500JGe","93333PC091500NGe","93333PM101000JGe","950248PC031000JNo","950248PC070200JNo","950248PC091500JNo","950267PC031000NIS","950267PC081000NIS"
"1",201401,0,51,289.2,4602,0,15120.38,0,4329.6,216.3,0,3676.16,0,1829.1,6660.96,2112.3,8134.32,810.3,1027.68,2576.1,302.5,843.2,5653.13,355.88,0,1587.75,168.39,139.32,0,0,0,0,0,7387.5,0,0,1127.36,3168,450.36,441.38,1161.75,0,112.2,0,3042.6,1270.92,74.8,134.64,3097.74,2703,1439.56,0,0,7016.1,1295.74,8516.32,0,186,732.25,287.98,96.9,316.13,343.5,405.75,383.18,1293.36,295.46,0,1079.1,146.25,131.63,4427.82,2537.6,14478.6,97,8481.6,223.16,2280.6,1725.12,447.6,0,1922.7,126.75,0,87.3,291.9,0,0,1257.66,0,442.68,0,0,0,0,439.68,158.4,0,0,0,787.85,445.4,57.84,15285.3,24917.76,245.7,2865,759.9,571.88,0,0,1440.3,0,908.5,1219.52,349.47,0,0,111.9,837.6,4636.16,0,0,942,3173.4,787.75,2557.13,0,4469.52,262.56,0,676.8,1493.25,85.92,0,0
"2",201402,0,0,0,1668.3,0,15177.38,56.4,1734,342,169.92,7292.16,0,2297.4,5723.52,1621.8,6666.48,894.9,634.56,2386.2,257.5,1618.24,4974.4,599.63,0,1552.25,790.5,285.12,104.16,0,0,73.08,0,4734.9,0,0,564.48,0,0,0,0,34.34,1628.6,374,706.8,1310.36,165.24,54.06,1779.9,2432.7,1044.82,0,0,974.1,670.48,2340.9,0,0,340.5,1984.24,270.3,0,375.38,1044,0,2525.52,0,29.92,1333.2,145.13,51,4403.68,1970.56,14103.9,337.75,3920.64,541.52,1739.08,4487.4,1613.1,350.7,567,168,46.75,0,116.1,0,199.92,905.76,295.8,224.06,75.82,0,0,0,230.72,80.64,0,1958.72,0,383.75,0,454.56,15813,21774.4,288.9,768,156.4,128.52,0,0,1425,0,1142,1187.2,347.16,0,0,151.8,1098,5240,0,0,0,2535,1116.75,4198.13,0,2695.44,710.16,336,2442,1147.5,161.28,689.7,0
"3",201403,0,78,0,2014.5,0,9767.63,0,2904,368.4,0,9378.56,0,1777.5,6701.76,2275.2,6150,889.8,573.36,2848.5,241.25,723.2,6478.5,0,0,3916,1221,17.64,0,0,0,184.8,0,3704.1,0,0,576,2327.25,0,0,468.38,52.36,673.2,1161.1,915,333.54,112.2,154.36,1133.22,2020.28,795.6,0,0,1426.2,560.66,3859,0,218,352.5,204.34,265.2,363.75,487.5,831.75,196.18,2176,0,98.6,1257,185.25,87.75,5851.4,3809.92,19890,280,7249.92,350,1732.92,2219.52,431.7,185.7,896.4,0,49.25,187.5,94.2,184.28,0,2825.06,0,298.18,0,0,0,0,373.12,0,0,1297.6,0,0,286.62,230.16,16323.9,21153.6,129,1338.9,287.98,311.78,0,0,907.5,0,1412.25,1599.68,404.25,0,0,124.5,1293.3,6473.92,0,947.24,330.9,3019.8,1971,4081.88,772.88,3831.12,623.28,2470.08,1863,2460,657.36,0,0
"4",201404,0,54,180,1769.1,0,9938.63,0,2802.72,550.2,172.32,10833.92,0,2523,7131.6,2223.6,6924,1147.8,760.32,3446.7,177.5,1342.4,4874.63,643.88,223.75,2803,510,0,0,0,0,719.32,0,6906.9,0,0,565.76,1179,834.12,0,292.5,84.66,926.84,931.26,1307.7,592.96,336.6,43.18,1801.66,2050.88,486.2,0,0,1395,309.4,3415.64,0,147,617.25,196.52,54.06,0,615.38,1150.88,191.76,553.86,0,239.36,1002.9,246.75,97.5,7807.76,3769.6,19841.7,189,7416.96,264.32,1891.68,3750,585,0,1596.9,0,0,0,147.3,0,0,1749.64,0,263.5,0,0,148.92,0,312.64,312.64,81.92,1972.8,0,183.05,0,279.36,13680.3,25801.28,75.6,869.1,116.28,87.38,0,0,1356,150,1422.5,1105.28,380.16,0,0,208.2,1479.9,4356.8,195.6,990.42,604.8,3729.9,1991.25,5740.13,1482,5048.64,334.8,2607.42,2420.7,2857.5,526.08,1410,0
"5",201405,0,55.5,135,1622.4,0,8633.63,54.96,2301.6,356.4,0,6483.2,0,3013.2,7349.52,1671.9,6060.24,693.3,858.72,3093.9,251.75,1534.08,7018.13,0,0,1237.25,570,0,219.24,0,0,221.2,230.1,5974.5,0,0,1697.92,4841.63,843.12,0,711,193.12,1340.96,734.4,2368.5,1091.4,262.14,67.32,1652.4,2888.3,0,0,0,3666,1008.1,2005.32,0,83.5,411.5,0,424.66,0,887.25,756,381.14,740.52,0,194.14,1157.7,306,0,5852.76,3431.04,21950.6,392.25,5516.16,263.2,1895.88,2982.96,350.4,0,1313.4,0,0,1012.5,141.6,88.06,0,590.92,0,0,0,0,980.56,0,158.4,0,0,579.84,81.28,373.1,0,228.24,15279.3,22877.76,156,1152.6,271.32,485.52,0,0,1503.3,0,897.5,897.6,370.26,0,0,215.4,1200.6,6289.92,113.4,1059.78,33,3045.6,1187.75,5480.63,612.38,3596.88,438.96,542.84,2999.4,6000,379.2,1372.2,0
"6",201406,0,0,143.1,2190,0,11724.38,0,2629.44,449.1,0,10573.44,0,2485.8,5544.72,2331.3,6378.24,1164.6,1032.24,2259,260.5,1272,5296.13,585,174,3697,400.13,0,0,0,0,0,0,4739.4,0,0,572.8,877.88,35.64,541.5,0,293.76,1753.04,1496,2603.4,1213.12,224.4,121.72,3065.1,544.68,347.48,0,0,4122.3,830.96,4818.14,0,132.5,461.75,196.18,160.82,253.13,483.38,707.25,0,1506.88,0,0,1098.9,195,175.88,4382.26,3971.2,12783.3,95.5,7887.04,89.88,2026.64,3410.88,1046.4,0,1911,0,42.75,189,0,198.56,0,2874.7,0,625.94,350.54,0,29.92,91.84,462.4,63.36,80.64,2548.16,0,0,0,164.16,13059.6,19707.2,192.6,1352.7,639.54,635.8,0,0,1467,0,1287.5,1251.52,728.64,0,0,100.5,1375.5,3695.36,0,909.84,0,3843.3,1122.75,4294.5,1556.25,4404,369.84,600.88,2421.3,5543.25,651.36,694.5,0
"7",201407,0,72,199.5,1614.9,0,13162.88,55.44,3271.2,892.8,175.68,11191.04,0,2248.8,8094.72,1837.2,7549.44,598.5,1067.52,2719.8,288.25,1723.52,7139.63,0,0,952.25,192,149.4,0,0,0,0,0,3177.3,0,0,0,2643.38,62.64,68.25,0,252.62,261.8,239.7,4059,1093.44,0,100.98,1718.7,342.38,0,0,0,4595.7,840.82,5768.44,17.68,86.5,728.5,202.64,239.02,360.75,290.63,1173.75,0,497.08,0,0,613.2,254.63,0,7314.76,2337.92,11247.6,355.25,9339.52,728.28,1987.44,2592.24,97.2,0,1485.3,0,0,1455.6,0,196.18,0,2465.68,5904.1,151.64,0,0,0,0,156.16,0,0,639.04,0,766.15,7.82,229.68,12607.2,17711.04,277.2,1868.1,205.7,514.42,0,0,2260.5,131.7,1333.75,2165.44,0,0,0,171.6,1178.7,2810.24,0,0,0,3911.4,1600,4554.75,1123.5,3377.52,303.36,0,3088.2,2625,948.48,1411.8,0
"8",201408,0,68.1,108,1770,0,7056.75,0,2141.28,300.6,178.56,5418.24,0,2355,7111.2,2008.2,6948.24,840,1241.28,1355.7,287.25,704,4523.25,684.75,0,1941.25,635.25,0,226.24,0,0,232.96,0,2089.2,0,0,1103.36,1345.13,0,0,1430.63,93.84,929.56,635.8,4105.8,1022.04,148.24,33.66,2457.52,715.7,0,0,0,5931,458.32,6658.56,0,164.75,536.25,0,209.78,0,477.75,744.38,394.4,326.06,0,139.06,1028.4,0,43.88,3621.68,3041.28,13569.9,215.25,6085.44,254.24,1475.88,2772.72,748.8,0,1867.8,187.25,928,3786.3,2391,1585.42,968.66,1471.18,8646.54,9557.4,375.7,0,291.38,0,313.6,232,0,1791.04,67.52,0,1082.9,90.24,16339.2,21257.28,94.5,1423.8,574.94,658.24,0,0,984.3,0,1115.25,1182.08,520.08,0,0,364.2,1436.1,5318.4,231.6,0,175.8,3501.9,921.5,4272.38,877.5,3541.2,318,0,1201.8,848.63,654.24,708.9,0
"9",201409,0,54,181.5,1568.7,0,8155.13,57.12,2632.08,659.7,168.72,6233.6,0,3117,7225.68,2320.5,6574.32,366.9,853.44,1161.6,176,1279.04,3351,0,0,867,504,297.36,0,0,0,0,0,3170.1,0,0,0,937.5,285.12,0,0,141.1,1377.68,900.66,4358.1,1528.98,149.6,134.64,3402.38,1122.34,133.96,0,0,7993.8,486.2,9574.06,0,208.75,565,0,147.22,237.75,166.5,1002.38,578,2223.26,144.16,153.34,1029.6,229.13,0,5884.04,2438.4,10027.5,189.25,3529.6,255.64,1654.8,1623.84,484.2,244.2,766.8,0,0,0,534,0,95.88,1636.42,2195.38,744.94,0,899.3,3309.22,0,383.68,0,0,1175.04,0,167.3,452.2,352.08,15813,20380.8,264.6,1408.5,322.32,419.9,0,0,2858.7,15,1410.75,1195.52,243.87,0,0,172.8,1110.3,4340.8,207.9,0,602.1,6135,1027,6600.38,7.88,2832.96,512.88,500.08,2462.4,454.5,640.32,1390.8,0
"10",201410,0,0,73.8,2754.9,0,15632.25,0,3147.36,1058.7,0,10284.8,0,2476.8,5298,1077.9,5170.08,885.3,448.32,3016.8,426.5,1473.28,6545.25,624.38,0,1154.25,0,0,386.12,0,0,288.12,0,4773,0,0,572.16,2940.75,315.72,228,498,157.08,1075.76,556.58,4205.4,2394.62,209.78,254.66,2868.58,1229.1,0,0,0,10006.8,1270.24,11384.9,0,0,279,200.26,119.68,0,443.25,170.63,0,567.8,0,0,424.5,0,186.75,5772.86,3861.12,13423.2,283.25,8149.12,325.92,1688.96,3568.32,0,0,495,91,46,84.9,1190.7,0,0,458.66,0,3171.86,370.26,0,0,0,314.24,0,0,1292.16,0,0,0,55.68,16351.8,19651.84,380.4,2641.2,720.12,912.22,0,0,1766.1,214.2,1082.25,1268.16,380.16,0,0,192,1477.5,6303.04,103.2,0,172.2,5369.7,1710,3124.5,1161.38,3816.96,316.8,1217.16,2438.4,2646.38,623.52,0,0
