"","date","950272PC080500FIS","950272PC091500NIS","950294PC050500FIb","950294PC051000AIb","950294PC051000FIb","950294PC051000JIb","950294PC070250FIb","950294PC070300FIb","950554PC020500AIb","950554PC021000AIb","950554PC031000AIb","950554PC070200AIb","950554PT070200AIb","950554PT070250AIb","950574PC051000JNo","950978PC091500JBe","951063PC030500AIb","951063PC030500FIb","951063PC031000AIb","951063PC031000FIb","951063PC031100AIb","951163PC020500JIS","951163PC021000JIS","951203PC010250JIS","951203PC021000JIS","951203PC030500FIS","951203PC070250FIS","951203PC070250JIS","951203PT021000JIS","951220PC051000NIb","951278PC070250JNo","951643PC042000FNo","951643PC050500FNo","951643PC051000FNo","951643PC060300FNo","951643PC060400FNo","951643PC060500FNo","951829PC031000AIb","951829PC091500AIb","951953PC050500AIS","951953PC051000AIS","952026PC010150JBe","952026PC010200JBe","952026PC010250ABe","952026PC010250JBe","952026PC031000JBe","952026PC051000JBe","952026PC081000JBe","952026PC091500JBe","952026PT081000JBe","952028PC051000ABe","952028PC051000FBe","952028PC051000JBe","952028PC060500FBe","952029PC050500FBe","952029PC050750FBe","952029PC051000FBe","952063PC021000JNo","952160PC070150JBe","952160PC070200JBe","952211PC030500AGe","952211PC030750AGe","952211PC031000AGe","952297PC031000JNo","952297PC042000JNo","952297PT020500JNo","952297PT021000JNo","952339PC021000JNo","952429PC031000JIb","952429PC042000JIb","952429PC070200JIb","952429PC081000JIb","952429PC091500JIb","952448PC021000JNo","952448PC042000JNo","952554PC010200JIb","952554PC031000AIb","952554PC031000JIb","952554PC091500JIb","952566PC030500AIS","952566PC031000AIS","952570PC060200FIS","952570PC060250FIS","952570PC060400FIS","952570PC060500FIS","952573PC051000AIS","952700PC050500AIS","952700PC051000AIS","952700PC051000FIS","952753PA060300RGe","952753PH060300RGe","952753PH060400RGe","952764PT070200AGe","952764PT070350FGe","952913PA060400RIS","952913PA060500RIS","952913PE060300FIS","952913PE060375FIS","952913PE060500FIS","952913PH060200RIS","952913PH060300RIS","952913PH060400RIS","952913PH060500RIS","952918PT070200ANo","952918PT070300ANo","952918PT070350ANo","952944PC042000JNo","952944PT021000JNo","952980PC031000JNo","952980PC042000JNo","953065PC010200AGe","953065PC030500AGe","953065PC031000AGe","953065PC050500AGe","953065PC050750AGe","953065PC051000AGe","953065PC060200AGe","953065PC060350AGe","953065PC060500AGe","953065PC060500FGe","953065PC070200AGe","953065PC070250AGe","953065PC070330FGe","953065PT070200AGe","953065PT070200FGe","953065PT070250AGe","953065PT070330AGe","953068PC030500AGe","953068PC031000AGe","953072PC031000AIb","953082PC031000AIb","953148PM100500JIS","953148PM100750JIS","953148PM101000JIS","953250PC030500ANo"
"1",201401,0,1355.28,0,0,2529.9,910.72,0,0,0,510,2588.4,0,0,0,110.4,940.32,0,173.1,10910.4,609,0,0,1036.2,0,0,0,0,488.25,345,0,1212.38,145.25,177.28,0,0,0,148.24,10170,1129.92,0,0,0,11552,0,8832.64,16925.4,5329.6,3671.64,2180.4,349.16,706.24,1220.16,0,782.68,1008.96,0,1333.76,0,0,3601.13,0,0,0,939,1492.25,490.2,1848.3,0,777.9,284,0,455.84,118.08,487.2,293,3684.48,0,1055.4,5226.48,0,0,0,0,0,704.48,0,0,156.48,0,1541.25,0,0,0,0,2974.5,2647.5,0,0,0,0,0,0,0,769.5,923.25,917.25,0,7360.2,378,744.5,0,291.3,10947.3,2797.44,0,931.84,3046.13,4168.13,2341.8,720.46,8572.88,137.63,187.68,0,251.63,0,186.38,0,4030.5,0,0,0,0,0,4585.8
"2",201402,0,628.32,0,0,1264.5,921.6,1146.48,2093.72,869.1,1902,4041.3,0,0,0,221.76,2244,0,0,7708.8,1011.6,0,0,301.8,0,0,0,0,0,984,73.92,1269,628.75,246.4,0,0,584.46,439.62,9159,1644.72,260.16,233.28,0,10618.88,0,1484.16,9547.2,3563.84,3959.76,1234.8,184.8,361.92,1147.52,0,567.12,428.48,0,226.56,0,0,3921.75,0,0,0,1189.8,1918,63,4737.6,0,1539.9,449.25,2522.25,1741.32,1087.92,340.5,203.5,4078.08,0,1146.3,6560.16,0,0,0,0,146.2,1502.46,0,89.6,235.52,77.7,1378.13,0,0,0,354.75,2026.5,0,0,0,0,0,0,0,0,216.75,1843.13,780,0,6823.5,762,1284.25,0,342.6,8568.6,3084.8,0,1124.48,3444.75,5403.38,1498.68,794.92,6089.25,640.88,0,0,0,0,0,0,4683,0,0,0,0,0,1796.4
"3",201403,0,1186.08,0,0,2035.8,622.08,221,0,1709.1,4380,6812.7,0,0,0,0,1557.36,0,247.2,3472.8,90.72,0,0,870.9,9.6,0,0,0,1281.75,1083.6,168.32,1527,288.5,728.32,0,0,0,0,10779.6,1177.44,0,0,0,8013.44,0,4359.68,9516.9,1934.08,3874.92,1755.84,306.32,389.12,1106.88,0,551.14,1011.52,0,1098.88,0,0,3087.75,0,0,0,2310.6,1620.25,232.8,3125.7,59.1,1618.2,792,4957.88,1460.76,1372.08,30,80,3592.96,0,1293.6,6015.84,0,0,0,0,149.94,599.76,0,0,0,0,306.38,0,0,368.25,167.63,2730.38,739.88,0,0,0,0,0,0,0,721.88,4193.25,780,0,7273.5,1167.9,1161.75,0,441.9,10099.8,2687.68,0,2523.2,2222.25,4476.75,1019.52,749.36,10331.63,669.38,0,0,250.88,0,219.38,0,4173.6,0,0,0,0,0,3555.6
"4",201404,0,962.16,0,0,614.1,0,0,0,95.7,2900.4,11787.9,0,0,0,279.04,1020.48,0,0,3836.1,147.56,0,0,720.8,875.52,72.3,298.8,240.38,1702.13,2002.2,391.36,249.38,139.25,75.84,77.4,196.52,0,297.84,12920.1,2535.12,0,0,0,15377.92,0,5724.8,13356.3,3921.92,6063.4,1985.52,429.52,588.8,1955.52,0,888.42,1064,0,373.44,0,0,5498.25,0,0,0,3700.2,2918.45,316.8,5050.8,0,1275.9,237,3310.5,1576.96,1651.68,205.2,329.5,8974.08,0,1033.5,5924.64,0,0,0,0,0,445.06,467.52,0,229.76,0,934.88,0,0,0,366,2622.75,448.5,0,0,0,0,0,0,0,469.88,3445.88,760.5,0,8328.9,1592.7,2280.75,0,202.2,10193.7,2279.36,0,1719.68,4633.5,4375.13,1226.16,448.12,6085.5,87.75,119.34,0,175.5,0,0,0,5236.8,0,0,0,0,0,3882.3
"5",201405,0,404.4,0,0,549,1556.48,0,0,414,2691.6,9370.2,0,0,0,242.24,733.68,0,0,9528,78.3,0,0,676.2,86.4,360,305.1,0,3514.88,2453.1,156.48,696,383.75,459.84,0,0,0,284.58,8161.2,728.4,244.16,0,0,14001.28,0,7180.8,12884.7,3534.08,4693.08,2588.4,359.52,805.12,1224,0,866.66,1302.08,0,1034.88,0,0,2371.88,0,0,81.9,2821.5,2034.7,0,3279.9,699.6,1186.8,618,4893,1208.76,1509.12,324.9,340.5,18105.6,0,1886.1,7734.72,0,0,0,0,0,1322.26,319.36,0,238.72,0,1096.13,0,0,127.88,0,2344.5,720.75,0,0,0,0,0,0,0,550.88,3266.25,942.38,0,5358.9,1054.2,978,0,567.3,9960.6,3034.24,0,2218.24,4360.88,5005.13,2142.72,459,10041,342.75,66.98,0,79.88,0,246,0,3631.5,0,0,0,0,0,2219.1
"6",201406,0,1345.92,0,0,668.7,391.04,915.28,166.94,537.6,1503.6,8546.1,0,0,0,243.84,837.12,0,0,10167,498,0,0,886.8,2167.68,485.7,621,0,474.38,2480.7,698.56,900,578.5,99.52,0,196.86,606.22,303.96,13893.9,1115.04,0,0,199.68,13233.28,0,7548.16,10445.4,3630.4,5130.16,2962.8,431.76,231.36,1016,0,974.1,1467.84,0,504.64,0,0,5689.5,0,0,163.5,2427,2438.25,553.8,4793.1,566.7,1746.9,1099.5,7261.88,1830.92,1291.2,202.5,148.5,6888.21,0,1505.1,7044,0,0,0,0,299.88,602.48,0,0,0,76.2,1721.25,0,0,198.75,335.63,8247.75,2034,0,0,0,0,0,0,0,259.5,4894.88,195,0,4375.8,516.9,1961.25,0,217.8,8621.1,259.52,0,1607.68,3597.75,2751.38,2038.32,299.2,5638.13,465.38,190.06,0,0,0,94.13,0,3083.7,0,0,0,0,0,1909.5
"7",201407,0,1455.84,0,0,2375.4,696.32,1349.12,1389.92,1440.9,2872.8,9406.2,0,0,0,313.6,1546.08,0,298.8,4860.9,492,0,0,586.5,464.64,45,616.8,0,811.5,2488.8,142.72,0,46.5,0,0,0,0,0,12486.6,2575.2,0,451.52,0,12868.48,0,6245.76,11772.6,4770.24,5701.92,1583.52,413.84,326.4,1292.16,0,1249.16,1587.84,0,1358.08,0,382.88,3591.75,50.7,0,82.2,528.9,2104.5,0,3157.5,435.3,1470.6,808.75,3763.5,1002.68,1576.32,104.7,89.75,11347.2,0,1917.6,5329.2,0,0,0,0,0,0,0,0,76.8,0,687.38,0,0,122.25,156,7600.5,0,0,0,0,0,0,0,0,251.25,1755,945.38,0,7897.5,1478.4,2958.75,0,320.4,9595.2,3909.12,0,1199.68,5689.5,3605.63,1156.68,567.46,7825.13,146.25,146.88,0,0,483.75,0,0,3137.7,0,0,0,0,0,5334.3
"8",201408,0,611.04,0,0,2715,704,1634.38,1036.66,0,1963.2,5914.8,0,0,0,0,743.52,0,0,6530.4,585.9,0,0,589.2,1902.08,30,0,0,514.13,1148.1,132.98,635.63,183.5,452.16,312,0,0,0,9343.8,748.56,0,0,852.48,13841.92,0,9349.12,15847.8,4132.48,3199.84,2991.12,246.12,271.68,459.52,0,292.06,-151.68,0,676.8,0,32.63,1318.88,0,0,0,2056.8,1972.5,1293.6,1969.5,0,1568.4,1172,6023.63,1970.92,1714.8,126.9,227.25,7847.68,0,1042.5,5075.76,0,0,0,0,202.98,1653.42,0,0,0,0,148.13,0,0,0,377.25,10293,3474,0,0,0,0,0,0,0,852,845.63,621.38,0,5894.1,867.9,1949.25,0,197.1,8162.4,2639.04,0,2014.08,3587.63,3963,1524.96,0,5906.63,1139.63,0,0,234,545.25,0,0,3654.9,0,0,0,0,0,1925.1
"9",201409,0,1067.04,0,0,6598.2,733.12,673.54,1057.4,1089,2841.6,6488.7,0,0,0,231.68,1192.8,0,0,6002.4,1074.6,0,0,497.1,1611.52,180.9,615.9,0,848.25,1527,0,0,0,0,303.9,0,296.14,598.74,8908.8,3229.68,0,0,266.24,5713.28,0,6950.4,10845.6,2637.76,6301.12,1547.52,253.96,504.96,776.64,0,1820.7,184.64,60.48,1788.48,0,136.5,3058.5,0,0,241.8,2687.4,1522,0,4136.1,504.6,442.8,765.25,2829,1795.92,1373.76,105,80,4750.72,0,1392.9,4616.4,0,0,0,0,709.24,0,0,0,314.24,77.7,296.63,0,0,0,366,1007.63,461.25,0,0,0,0,0,0,0,509.25,3405.75,722.25,0,7357.06,1059,1306,0,530.7,4222.5,3318.72,0,1611.2,3576.75,3407.25,1582.2,299.2,7726.88,252,0,0,20.63,0,0,0,4191.6,0,0,0,0,0,4154.1
"10",201410,0,878.4,0,0,5649.9,465.28,2598.96,2791.06,0,2964.3,9440.1,0,0,0,472.32,1051.44,0,0,9467.7,0,0,0,554.7,1761.92,72,0,0,946.13,3012,335.36,0,98.75,690.24,851.7,0,281.86,0,11124.3,1250.88,0,235.52,0,11392.64,0,5429.12,9114,2332.8,6233.08,1407.84,180.88,302.08,1175.68,0,1611.6,648,283.2,1509.12,0,0,3222.38,0,0,0,2490,2355,192,4610.1,1034.7,930.3,684.25,3062.63,1295.56,640.56,165,295.75,6970.24,0,908.1,5195.04,0,0,0,0,0,902.36,302.72,0,217.28,74.1,1120.5,0,0,116.25,0,3273.38,522.75,0,0,0,0,0,0,0,585,2787.38,780,0,7912.2,1058.4,1944.75,2225.92,138.6,3489,3650.24,0,1918.72,3844.5,4929.38,1841.76,583.78,8854.88,487.5,39.78,0,373.88,0,43.88,0,3126,0,0,0,0,0,2886.3
