date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
date,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
1097PC010200J,0,0,0,0,0,0,0,0,0,0,0,0
1097PC010250J,0,0,0,0,0,0,0,0,0,0,0,0
1097PC031000J,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14
1097PC070200J,0,0,0,0,0,0,0,0,0,0,0,0
1097PC091500J,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14
133715PC050500A,998.4,508.8,1108.32,1434.56,1230.56,1129.76,999.8399999999999,1039.2,1256.48,1094.24,1095.84,1111.68
133715PC050500F,252.79999999999998,260.64,592.9599999999999,592.64,223.03999999999996,268.9599999999999,363.19999999999993,323.35999999999996,189.91999999999993,181.91999999999993,181.91999999999993,160.15999999999994
133715PC051000A,4647.68,3685.2799999999997,4359.04,4960.639999999999,5269.120000000001,5295.200000000001,5012.8,5056,4776.16,4930.4000000000005,4823.360000000001,4528.960000000001
133715PC051000F,462.24,339.49,479.49,509.8,545.32,528.64,287.68,255.68,455.84000000000003,419.04,285.6,311.2
133715PC051000J,0,0,0,0,0,0,0,0,0,0,0,0
133715PC051100A,0,0,0,0,0,0,0,0,0,0,0,0
133715PC051100F,0,0,0,0,0,0,0,0,0,0,0,0
144934PC031000A,3561.75,3608.85,3598.5299999999997,2904.42,3238.1899999999996,2927.95,1883.84,2198.4,2750.4,2647.04,2621.2799999999997,2480.3199999999997
144934PC050500A,1112.8,1196.32,751.84,939.52,1133.12,909.76,905.1199999999999,940.96,1036.16,1339.04,1280.48,933.9200000000001
144934PC051000A,181.6,328.32,336.96000000000004,450.08000000000004,528.8,401.59999999999997,176.79999999999998,36.96000000000001,88.00000000000001,266.56,342.72,204.79999999999998
17010105PC050500A,139.68,1.4210854715202004e-14,378.24,532.64,154.40000000000003,285.12,313.92,167.52,138.72000000000003,735.52,735.52,-1.4210854715202004e-14
17010105PC050500J,139.83999999999995,139.03999999999994,139.03999999999994,140.15999999999994,140.15999999999994,142.39999999999995,142.39999999999995,426.0799999999999,426.0799999999999,842.2399999999999,842.2399999999999,-8.526512829121202e-14
17010105PC051000A,445.6000000000001,135.04000000000002,174.56000000000003,277.28000000000003,237.76000000000002,330.24,449.12,197.44000000000003,352.96000000000004,387.2,112.80000000000003,2.842170943040401e-14
17010105PC070200A,1789.875,365.62499999999994,925.5,1165.875,593.25,1427.065,1909.8799999999999,3849.005,3957.755,1531.8799999999999,2815.69,3361.125
17010105PC070250A,0,0,0,2.065,2.065,0,0,0,0,0,0,0
17010105PC080500A,0,0,0,0,0,0,0,0,0,0,0,0
17010105PC080500J,0,0,0,0,0,0,0,0,0,0,0,0
17010105PC081000A,0,0,0,0,0,0,0,0,0,0,0,0
17010105PT070200A,713.065,477.005,706.69,469.125,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,478.69,478.69,238.315,831.005,824.8149999999999
17010105PT070250A,0,0,0,0,0,0,0,0,0,0,0,0
17010105PT070330A,338.625,348.375,348.375,350.815,521.63,346.88,176.065,1.125,1.125,176.065,326.255,826.69
17010105PT070350A,0,0,0,0,0,0,0,0,0,0,0,0
17010105PT081000A,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC031000A,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC050500A,230.39999999999998,-2.842170943040401e-14,275.84000000000003,596.96,321.12,-2.842170943040401e-14,-2.842170943040401e-14,91.67999999999998,309.76,218.07999999999998,92.95999999999998,276.48
17010702PC051000A,6637.119999999999,6891.5199999999995,7205.5999999999995,7798.879999999999,8083.04,6351.2,5706.879999999999,6130.719999999999,5698.08,4564.48,5953.28,9464.64
17010702PC070150F,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC070200A,1246.5,1066.5,517.125,845.625,845.625,462.565,1063.69,1079.815,478.69,554.25,1121.625,1403.25
17010702PC070250A,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC070350A,136.5,178.875,42.375,0,0,88.875,264.75,175.875,0,0,173.815,173.815
17010702PC070350F,0,0,0,0,0,0,0,0,0,0,0,0
17011901PC070200A,0,0,0,112.5,112.5,0,0,0,0,0,0,0
17011901PC070250A,0,0,0,473.625,473.625,241.875,598.315,356.44,480.75,600.19,119.44000000000001,0
17011901PC070300A,0,0,0,0,0,517.6899999999999,606.38,88.69000000000001,91.125,262.875,171.75,0
17011901PC081000A,75.9,7.105427357601002e-15,37.95000000000001,188.55,222.75,186,265.35,190.8,113.4,186.75,150.60000000000002,113.4
17011901PT080500A,0,0,0,0,0,0,0,0,0,0,0,0
17011901PT080500P,159,23.999999999999993,66,102,69.29999999999998,33.29999999999999,35.99999999999999,35.99999999999999,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15
17011901PT081000A,414.3000000000001,528.7500000000001,447.60000000000014,828.3000000000001,820.6500000000001,480.6000000000001,627.6000000000001,737.5500000000001,808.95,996.0000000000001,564.7500000000001,254.55000000000013
17011901PT081000P,2032.9499999999996,806.6999999999996,1933.9499999999996,1842.5999999999997,1576.6499999999996,1406.5499999999997,1214.6999999999996,1456.7999999999997,1448.3999999999996,1502.8499999999995,1781.3999999999996,1769.5499999999995
17013059PC050500A,325.44,270.88,364.64000000000004,372.32,322.88,381.44,384.48,141.44,92.80000000000001,185.12,92.32000000000001,93.92000000000002
17013059PC051000A,6038.4,4933.5999999999995,5983.039999999999,6778.24,5182.08,4274.24,4669.44,4132.48,3413.2799999999997,4306.719999999999,7941.120000000001,10843.039999999999
17013228PC080500A,0,0,0,0,0,0,0,0,0,0,0,0
17013228PC081000A,2711.7,813,1953,2530.2,2448.75,1864.05,1675.95,1537.0500000000002,1255.65,1581.15,1899.6,2332.05
17013228PC081000P,0,0,0,0,0,0,0,0,0,0,0,0
17013228PT080500A,101.1,0,0,110.7,225.9,115.2,0,0,0,109.95,109.95,0
17013228PT081000A,76.34999999999998,304.5,683.4,378.9,227.55,304.2,380.4,437.7,133.95,-1.0658141036401503e-14,-1.0658141036401503e-14,-1.0658141036401503e-14
17113015PC042000J,170.03999999999996,-1.4210854715202004e-14,333.06,436.53999999999996,249.07999999999998,214.10999999999999,135.2,162.37,168.48,171.59999999999997,195.39,218.65999999999997
17113015PC091500J,818.2500000000001,1.2789769243681803e-13,792.8750000000001,1662.2500000000002,2121.625,1987.1250000000002,1749.5000000000002,2509.75,1581.6250000000002,321.5000000000001,457.2500000000001,970.6250000000001
17120701PT021000J,0,0,0,0,0,0,0,0,0,0,0,0
17120702PC050250A,0,0,0,0,0,0,0,0,0,0,0,0
17120702PC050500A,0,0,0,0,0,0,0,0,0,0,0,0
17120702PC051000A,0,0,0,0,0,0,0,0,0,0,0,0
17120706PC030500A,2148.6000000000004,1683.9,1913.1000000000001,1373.8500000000001,1315.5,2652.45,2077.05,1365.6,2071.8,1548.4499999999998,1681.4499999999998,2860.6299999999997
17120706PC031000A,306.0000000000001,835.3500000000001,666.6000000000001,469.35000000000014,534.7500000000001,504.7500000000001,569.4000000000001,469.35000000000014,555.1500000000001,353.10000000000014,250.99000000000007,675.47
17120706PT070200A,837.9399999999999,1544.8149999999998,706.875,920.25,940.3149999999999,994.5049999999999,1617.9399999999998,1556.4399999999998,1213.6899999999998,1230.9399999999998,1170.7549999999999,860.4399999999999
17120706PT070250A,929.2549999999999,314.43999999999994,1076.625,837.7499999999999,775.6899999999998,775.6899999999998,281.0649999999999,763.8799999999999,938.0649999999998,455.2499999999999,635.4399999999998,907.3149999999998
17121201PC030500A,107.40000000000002,107.40000000000002,208.35000000000002,342,133.65000000000003,77.55000000000001,126.15,105.15,56.55000000000001,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14
17121201PC031000A,4097.4000000000005,4689.1500000000005,6049.735000000001,6290.935,6648.450000000001,7306.800000000001,7154.4000000000005,6617.1,6133.200000000001,7542.6,8236.640000000001,10840.890000000001
17121201PC031000F,0,0,0,0,0,0,0,0,0,0,0,0
17121201PC042000A,0,0,0,0,0,0,0,0,0,0,0,0
17121201PC060200A,0,0,0,0,0,0,0,0,0,0,0,0
