"Report.ID","Arrest.Date","Time","Area.ID","Area.Name","Reporting.District","Age","Sex.Code","Descent.Code","Charge.Group.Code","Charge.Group.Description","Arrest.Type.Code","Charge","Charge.Description","Address","Cross.Street","Location"
180112839,"2018-05-01",1737,1,"Central",166,62,"M","B",NA,"","M","22980BP","","6TH                          ST","SAN JULIAN                   ST","(34.0428, -118.2461)"
180112848,"2018-05-01",1350,1,"Central",127,64,"M","O",NA,"","M","374.4PC","","TEMPLE","JUDGE ALISO","(34.0527, -118.2398)"
180112854,"2018-05-01",2000,1,"Central",138,47,"M","H",20,"Disorderly Conduct","M","41.18DLAMC","SIT/LIE/SLEEP SIDEWALK OR STREET","3RD                          ST","SAN PEDRO                    ST","(34.0467, -118.2411)"
180112855,"2018-05-01",1505,1,"Central",145,60,"M","B",24,"Miscellaneous Other Violations","M","41.45CLAMC","ILLEGAL POSSESSION OF SHOPPING CART","5TH                          ST","WERDIN                       PL","(34.0461, -118.2476)"
180112856,"2018-05-01",1430,1,"Central",146,53,"M","B",20,"Disorderly Conduct","M","41.18DLAMC","SIT/LIE/SLEEP SIDEWALK OR STREET","WALL                         ST","WINSTON                      ST","(34.0455, -118.2452)"
180112888,"2018-05-01",755,1,"Central",111,27,"F","H",24,"Miscellaneous Other Violations","M","56.11LAMC","LEAVING PERSONAL PROP ON SIDEWALK","ARCADIA","SPRING                       ST","(34.0565, -118.2411)"
180112889,"2018-05-01",800,1,"Central",111,23,"M","H",24,"Miscellaneous Other Violations","M","56.11LAMC","LEAVING PERSONAL PROP ON SIDEWALK","ARCADIA","SPRING                       ST","(34.0565, -118.2411)"
180112890,"2018-05-01",1515,1,"Central",148,49,"M","B",20,"Disorderly Conduct","M","41.18DLAMC","SIT/LIE/SLEEP SIDEWALK OR STREET","5TH","STANFORD                     AV","(34.0421, -118.2405)"
180112891,"2018-05-01",1507,1,"Central",148,60,"M","B",17,"Liquor Laws","M","25620BP","OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE","400    STANFORD                     AV","","(34.0439, -118.2399)"
180112892,"2018-05-01",1450,1,"Central",166,48,"M","B",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","6TH                          ST","SAN JULIAN                   ST","(34.0428, -118.2461)"
